PM2.5,PM10,CO,NO2,SO2,O3,Time,hour
27.0,37.0,0.56,11.0,38.0,29.0,2018-11-15 21:00:00,2018-11-15 21:00:00
20.0,34.0,0.53,9.0,32.0,32.0,2018-11-15 22:00:00,2018-11-15 22:00:00
17.0,24.0,0.519,7.0,26.0,35.0,2018-11-15 23:00:00,2018-11-15 23:00:00
12.0,17.0,0.499,7.0,21.0,41.0,2018-11-16 00:00:00,2018-11-16 00:00:00
13.0,17.0,0.486,6.0,16.0,48.0,2018-11-16 01:00:00,2018-11-16 01:00:00
16.0,17.0,0.475,7.0,16.0,51.0,2018-11-16 02:00:00,2018-11-16 02:00:00
16.0,17.0,0.481,6.0,14.0,49.0,2018-11-16 03:00:00,2018-11-16 03:00:00
18.0,25.0,0.488,6.0,16.0,44.0,2018-11-16 04:00:00,2018-11-16 04:00:00
23.0,24.0,0.479,6.0,15.0,50.0,2018-11-16 05:00:00,2018-11-16 05:00:00
24.0,22.0,0.504,6.0,25.0,44.0,2018-11-16 06:00:00,2018-11-16 06:00:00
20.0,29.0,0.561,7.0,33.0,39.0,2018-11-16 07:00:00,2018-11-16 07:00:00
26.0,22.0,0.537,7.0,25.0,62.0,2018-11-16 08:00:00,2018-11-16 08:00:00
16.0,24.0,0.508,7.0,25.0,70.0,2018-11-16 09:00:00,2018-11-16 09:00:00
14.0,21.0,0.542,6.0,25.0,74.0,2018-11-16 10:00:00,2018-11-16 10:00:00
15.0,29.0,0.563,7.0,22.0,80.0,2018-11-16 11:00:00,2018-11-16 11:00:00
21.0,25.0,0.596,7.0,19.0,87.0,2018-11-16 12:00:00,2018-11-16 12:00:00
22.0,31.0,0.615,6.0,19.0,84.0,2018-11-16 13:00:00,2018-11-16 13:00:00
23.0,29.0,0.676,6.0,22.0,65.0,2018-11-16 14:00:00,2018-11-16 14:00:00
16.0,32.0,0.655,7.0,20.0,47.0,2018-11-16 15:00:00,2018-11-16 15:00:00
19.0,21.0,0.652,6.0,22.0,35.0,2018-11-16 16:00:00,2018-11-16 16:00:00
23.0,28.0,0.659,6.0,24.0,33.0,2018-11-16 17:00:00,2018-11-16 17:00:00
26.0,35.0,0.658,6.0,28.0,33.0,2018-11-16 18:00:00,2018-11-16 18:00:00
28.0,44.0,0.651,7.0,21.0,42.0,2018-11-16 19:00:00,2018-11-16 19:00:00
30.0,39.0,0.672,8.0,19.0,47.0,2018-11-16 20:00:00,2018-11-16 20:00:00
29.0,40.0,0.685,7.0,18.0,46.0,2018-11-16 21:00:00,2018-11-16 21:00:00
31.0,35.0,0.678,6.0,23.0,42.0,2018-11-16 22:00:00,2018-11-16 22:00:00
42.0,36.0,0.666,9.0,21.0,42.0,2018-11-16 23:00:00,2018-11-16 23:00:00
26.0,37.0,0.648,10.0,18.0,46.0,2018-11-17 00:00:00,2018-11-17 00:00:00
26.0,41.0,0.548,8.0,16.0,48.0,2018-11-17 01:00:00,2018-11-17 01:00:00
18.0,28.0,0.445,6.0,12.0,53.0,2018-11-17 02:00:00,2018-11-17 02:00:00
11.0,17.0,0.44,6.0,15.0,48.0,2018-11-17 03:00:00,2018-11-17 03:00:00
8.0,22.0,0.471,8.0,19.0,38.0,2018-11-17 04:00:00,2018-11-17 04:00:00
19.0,25.0,0.498,8.0,21.0,36.0,2018-11-17 05:00:00,2018-11-17 05:00:00
15.0,26.0,0.559,7.0,27.0,29.0,2018-11-17 06:00:00,2018-11-17 06:00:00
8.0,27.0,0.58,7.0,35.0,19.0,2018-11-17 07:00:00,2018-11-17 07:00:00
17.0,38.0,0.63,8.0,28.0,26.0,2018-11-17 08:00:00,2018-11-17 08:00:00
17.0,38.0,0.685,8.0,26.0,39.0,2018-11-17 09:00:00,2018-11-17 09:00:00
15.0,40.0,0.587,7.0,33.0,34.0,2018-11-17 10:00:00,2018-11-17 10:00:00
13.0,40.0,0.576,7.0,30.0,39.0,2018-11-17 11:00:00,2018-11-17 11:00:00
16.0,46.0,0.575,7.0,31.0,38.0,2018-11-17 12:00:00,2018-11-17 12:00:00
15.0,52.0,0.543,8.0,31.0,39.0,2018-11-17 13:00:00,2018-11-17 13:00:00
21.0,47.0,0.555,8.0,38.0,34.0,2018-11-17 14:00:00,2018-11-17 14:00:00
16.0,47.0,0.58,8.0,42.0,31.0,2018-11-17 15:00:00,2018-11-17 15:00:00
28.0,46.0,0.569,8.0,43.0,35.0,2018-11-17 16:00:00,2018-11-17 16:00:00
20.0,59.0,0.626,7.0,43.0,34.0,2018-11-17 17:00:00,2018-11-17 17:00:00
30.0,55.0,0.631,7.0,43.0,32.0,2018-11-17 18:00:00,2018-11-17 18:00:00
20.0,47.0,0.624,6.0,40.0,31.0,2018-11-17 19:00:00,2018-11-17 19:00:00
25.0,43.0,0.642,6.0,42.0,26.0,2018-11-17 20:00:00,2018-11-17 20:00:00
30.0,37.0,0.587,6.0,37.0,28.0,2018-11-17 21:00:00,2018-11-17 21:00:00
26.0,27.0,0.587,6.0,32.0,28.0,2018-11-17 22:00:00,2018-11-17 22:00:00
27.0,27.0,0.608,6.0,28.0,31.0,2018-11-17 23:00:00,2018-11-17 23:00:00
23.0,21.0,0.579,6.0,24.0,35.0,2018-11-18 00:00:00,2018-11-18 00:00:00
22.0,20.0,0.507,6.0,14.0,54.0,2018-11-18 01:00:00,2018-11-18 01:00:00
13.0,9.0,0.562,5.0,14.0,60.0,2018-11-18 02:00:00,2018-11-18 02:00:00
15.0,13.0,0.529,6.0,16.0,55.0,2018-11-18 03:00:00,2018-11-18 03:00:00
18.0,14.0,0.504,6.0,12.0,56.0,2018-11-18 04:00:00,2018-11-18 04:00:00
18.0,13.0,0.522,6.0,16.0,49.0,2018-11-18 05:00:00,2018-11-18 05:00:00
15.0,12.0,0.555,6.0,20.0,43.0,2018-11-18 06:00:00,2018-11-18 06:00:00
24.0,18.0,0.508,5.0,24.0,45.0,2018-11-18 07:00:00,2018-11-18 07:00:00
19.0,18.0,0.509,5.0,25.0,40.0,2018-11-18 08:00:00,2018-11-18 08:00:00
18.0,19.0,0.552,6.0,37.0,24.0,2018-11-18 09:00:00,2018-11-18 09:00:00
15.0,16.0,0.626,6.0,33.0,26.0,2018-11-18 10:00:00,2018-11-18 10:00:00
26.0,19.0,0.624,6.0,31.0,35.0,2018-11-18 11:00:00,2018-11-18 11:00:00
11.0,17.0,0.643,6.0,33.0,25.0,2018-11-18 12:00:00,2018-11-18 12:00:00
20.0,23.0,0.644,5.0,32.0,29.0,2018-11-18 13:00:00,2018-11-18 13:00:00
15.0,25.0,0.638,6.0,31.0,38.0,2018-11-18 14:00:00,2018-11-18 14:00:00
30.0,25.0,0.676,5.0,34.0,38.0,2018-11-18 15:00:00,2018-11-18 15:00:00
23.0,18.0,0.665,5.0,39.0,34.0,2018-11-18 16:00:00,2018-11-18 16:00:00
26.0,20.0,0.671,5.0,43.0,28.0,2018-11-18 17:00:00,2018-11-18 17:00:00
26.0,30.0,0.71,6.0,52.0,14.0,2018-11-18 18:00:00,2018-11-18 18:00:00
30.0,30.0,0.748,6.0,45.0,24.0,2018-11-18 19:00:00,2018-11-18 19:00:00
38.0,38.0,0.759,5.0,40.0,30.0,2018-11-18 20:00:00,2018-11-18 20:00:00
36.0,33.0,0.841,5.0,41.0,26.0,2018-11-18 21:00:00,2018-11-18 21:00:00
41.0,31.0,0.713,5.0,36.0,26.0,2018-11-18 22:00:00,2018-11-18 22:00:00
25.0,26.0,0.705,6.0,37.0,21.0,2018-11-18 23:00:00,2018-11-18 23:00:00
28.0,25.0,0.702,6.0,23.0,37.0,2018-11-19 00:00:00,2018-11-19 00:00:00
34.0,31.0,0.716,6.0,21.0,40.0,2018-11-19 01:00:00,2018-11-19 01:00:00
35.0,33.0,0.72,6.0,20.0,38.0,2018-11-19 02:00:00,2018-11-19 02:00:00
43.0,31.0,0.744,6.0,22.0,34.0,2018-11-19 03:00:00,2018-11-19 03:00:00
48.0,41.0,0.793,7.0,22.0,32.0,2018-11-19 04:00:00,2018-11-19 04:00:00
50.0,42.0,0.885,7.0,23.0,24.0,2018-11-19 05:00:00,2018-11-19 05:00:00
58.0,58.0,1.039,8.0,27.0,24.0,2018-11-19 06:00:00,2018-11-19 06:00:00
65.0,64.0,1.385,9.0,36.0,18.0,2018-11-19 07:00:00,2018-11-19 07:00:00
67.0,77.0,1.562,10.0,41.0,17.0,2018-11-19 08:00:00,2018-11-19 08:00:00
69.0,77.0,1.479,10.0,35.0,25.0,2018-11-19 09:00:00,2018-11-19 09:00:00
73.0,85.0,1.495,10.0,37.0,27.0,2018-11-19 10:00:00,2018-11-19 10:00:00
73.0,92.0,1.522,10.0,44.0,29.0,2018-11-19 11:00:00,2018-11-19 11:00:00
72.0,96.0,1.482,10.0,44.0,34.0,2018-11-19 12:00:00,2018-11-19 12:00:00
75.0,87.0,1.484,10.0,44.0,42.0,2018-11-19 13:00:00,2018-11-19 13:00:00
82.0,96.0,1.454,10.0,48.0,45.0,2018-11-19 14:00:00,2018-11-19 14:00:00
73.0,92.0,1.381,10.0,52.0,41.0,2018-11-19 15:00:00,2018-11-19 15:00:00
71.0,85.0,1.691,10.0,67.0,22.0,2018-11-19 16:00:00,2018-11-19 16:00:00
72.0,100.0,2.032,10.0,88.0,4.0,2018-11-19 17:00:00,2018-11-19 17:00:00
90.0,136.0,1.753,10.0,82.0,4.0,2018-11-19 18:00:00,2018-11-19 18:00:00
64.0,103.0,1.661,12.0,70.0,4.0,2018-11-19 19:00:00,2018-11-19 19:00:00
67.0,95.0,1.734,11.0,66.0,3.0,2018-11-19 20:00:00,2018-11-19 20:00:00
77.0,95.0,1.69,10.0,64.0,2.0,2018-11-19 21:00:00,2018-11-19 21:00:00
77.0,105.0,1.61,9.0,59.0,2.0,2018-11-19 22:00:00,2018-11-19 22:00:00
74.0,99.0,1.664,9.0,54.0,2.0,2018-11-19 23:00:00,2018-11-19 23:00:00
69.0,93.0,1.632,9.0,50.0,3.0,2018-11-20 00:00:00,2018-11-20 00:00:00
64.0,89.0,1.46,8.0,48.0,3.0,2018-11-20 01:00:00,2018-11-20 01:00:00
72.0,75.0,1.3,7.0,44.0,4.0,2018-11-20 02:00:00,2018-11-20 02:00:00
63.0,63.0,1.137,6.0,47.0,5.0,2018-11-20 03:00:00,2018-11-20 03:00:00
56.0,59.0,1.048,6.0,42.0,12.0,2018-11-20 04:00:00,2018-11-20 04:00:00
48.0,63.0,1.042,6.0,41.0,11.0,2018-11-20 05:00:00,2018-11-20 05:00:00
54.0,55.0,1.16,6.0,42.0,10.0,2018-11-20 06:00:00,2018-11-20 06:00:00
50.0,67.0,1.368,8.0,48.0,5.0,2018-11-20 07:00:00,2018-11-20 07:00:00
57.0,67.0,1.391,10.0,46.0,16.0,2018-11-20 08:00:00,2018-11-20 08:00:00
70.0,101.0,1.649,12.0,46.0,36.0,2018-11-20 09:00:00,2018-11-20 09:00:00
103.0,132.0,1.291,12.0,39.0,96.0,2018-11-20 12:00:00,2018-11-20 12:00:00
82.0,106.0,1.109,11.0,35.0,102.0,2018-11-20 13:00:00,2018-11-20 13:00:00
69.0,96.0,0.997,10.0,28.0,113.0,2018-11-20 14:00:00,2018-11-20 14:00:00
62.0,78.0,0.955,9.0,29.0,111.0,2018-11-20 15:00:00,2018-11-20 15:00:00
54.0,84.0,0.955,9.0,45.0,87.0,2018-11-20 16:00:00,2018-11-20 16:00:00
58.0,93.0,1.002,8.0,50.0,76.0,2018-11-20 17:00:00,2018-11-20 17:00:00
54.0,94.0,0.988,9.0,42.0,76.0,2018-11-20 18:00:00,2018-11-20 18:00:00
56.0,94.0,0.941,10.0,41.0,77.0,2018-11-20 19:00:00,2018-11-20 19:00:00
67.0,89.0,0.965,10.0,46.0,62.0,2018-11-20 20:00:00,2018-11-20 20:00:00
64.0,95.0,1.055,10.0,54.0,43.0,2018-11-20 21:00:00,2018-11-20 21:00:00
69.0,90.0,1.241,9.0,75.0,12.0,2018-11-20 22:00:00,2018-11-20 22:00:00
72.0,97.0,1.424,8.0,75.0,3.0,2018-11-20 23:00:00,2018-11-20 23:00:00
75.0,93.0,1.305,8.0,70.0,4.0,2018-11-21 00:00:00,2018-11-21 00:00:00
74.0,98.0,1.144,8.0,62.0,3.0,2018-11-21 01:00:00,2018-11-21 01:00:00
78.0,79.0,1.224,7.0,58.0,3.0,2018-11-21 02:00:00,2018-11-21 02:00:00
74.0,77.0,1.224,7.0,53.0,4.0,2018-11-21 03:00:00,2018-11-21 03:00:00
63.0,67.0,1.177,6.0,44.0,7.0,2018-11-21 04:00:00,2018-11-21 04:00:00
58.0,60.0,1.146,7.0,53.0,4.0,2018-11-21 05:00:00,2018-11-21 05:00:00
58.0,75.0,1.247,7.0,50.0,3.0,2018-11-21 06:00:00,2018-11-21 06:00:00
64.0,74.0,1.409,8.0,48.0,3.0,2018-11-21 07:00:00,2018-11-21 07:00:00
72.0,81.0,0.95,7.0,42.0,4.0,2018-11-21 08:00:00,2018-11-21 08:00:00
60.0,80.0,1.039,8.0,38.0,10.0,2018-11-21 09:00:00,2018-11-21 09:00:00
96.0,129.0,1.067,6.0,40.0,17.0,2018-11-21 12:00:00,2018-11-21 12:00:00
60.0,71.0,1.358,6.0,36.0,30.0,2018-11-21 13:00:00,2018-11-21 13:00:00
100.0,106.0,1.76,8.0,42.0,38.0,2018-11-21 14:00:00,2018-11-21 14:00:00
100.0,112.0,2.011,9.0,43.0,50.0,2018-11-21 15:00:00,2018-11-21 15:00:00
90.0,104.0,2.298,11.0,49.0,53.0,2018-11-21 16:00:00,2018-11-21 16:00:00
91.0,110.0,1.533,10.0,43.0,60.0,2018-11-21 17:00:00,2018-11-21 17:00:00
93.0,116.0,2.094,11.0,50.0,59.0,2018-11-21 18:00:00,2018-11-21 18:00:00
121.0,140.0,2.001,12.0,55.0,48.0,2018-11-21 19:00:00,2018-11-21 19:00:00
122.0,150.0,1.594,10.0,50.0,54.0,2018-11-21 20:00:00,2018-11-21 20:00:00
134.0,163.0,1.507,11.0,46.0,44.0,2018-11-21 21:00:00,2018-11-21 21:00:00
124.0,155.0,1.103,10.0,42.0,32.0,2018-11-21 22:00:00,2018-11-21 22:00:00
86.0,112.0,1.078,10.0,42.0,26.0,2018-11-21 23:00:00,2018-11-21 23:00:00
75.0,108.0,1.041,10.0,43.0,20.0,2018-11-22 00:00:00,2018-11-22 00:00:00
71.0,98.0,1.044,8.0,42.0,11.0,2018-11-22 01:00:00,2018-11-22 01:00:00
63.0,87.0,1.341,8.0,45.0,7.0,2018-11-22 02:00:00,2018-11-22 02:00:00
68.0,96.0,1.289,8.0,44.0,12.0,2018-11-22 03:00:00,2018-11-22 03:00:00
84.0,105.0,1.277,8.0,41.0,20.0,2018-11-22 04:00:00,2018-11-22 04:00:00
109.0,147.0,1.251,8.0,44.0,9.0,2018-11-22 05:00:00,2018-11-22 05:00:00
108.0,142.0,1.34,7.0,45.0,4.0,2018-11-22 06:00:00,2018-11-22 06:00:00
108.0,143.0,1.788,10.0,55.0,4.0,2018-11-22 07:00:00,2018-11-22 07:00:00
105.0,150.0,1.563,12.0,56.0,10.0,2018-11-22 08:00:00,2018-11-22 08:00:00
112.0,146.0,1.258,13.0,51.0,24.0,2018-11-22 09:00:00,2018-11-22 09:00:00
81.0,109.0,1.06,11.0,45.0,47.0,2018-11-22 10:00:00,2018-11-22 10:00:00
79.0,96.0,1.034,12.0,42.0,61.0,2018-11-22 11:00:00,2018-11-22 11:00:00
74.0,131.0,0.957,12.0,34.0,85.0,2018-11-22 12:00:00,2018-11-22 12:00:00
71.0,88.0,1.148,12.0,38.0,85.0,2018-11-22 13:00:00,2018-11-22 13:00:00
73.0,108.0,1.24,13.0,37.0,88.0,2018-11-22 14:00:00,2018-11-22 14:00:00
73.0,114.0,1.455,14.0,39.0,96.0,2018-11-22 15:00:00,2018-11-22 15:00:00
78.0,107.0,1.726,17.0,64.0,76.0,2018-11-22 16:00:00,2018-11-22 16:00:00
84.0,122.0,1.619,14.0,94.0,34.0,2018-11-22 17:00:00,2018-11-22 17:00:00
94.0,146.0,1.745,11.0,102.0,9.0,2018-11-22 18:00:00,2018-11-22 18:00:00
90.0,160.0,1.916,11.0,103.0,4.0,2018-11-22 19:00:00,2018-11-22 19:00:00
95.0,174.0,1.401,11.0,94.0,2.0,2018-11-22 20:00:00,2018-11-22 20:00:00
76.0,126.0,1.042,10.0,86.0,6.0,2018-11-22 21:00:00,2018-11-22 21:00:00
56.0,106.0,0.975,10.0,63.0,24.0,2018-11-22 22:00:00,2018-11-22 22:00:00
55.0,86.0,1.085,11.0,47.0,38.0,2018-11-22 23:00:00,2018-11-22 23:00:00
54.0,82.0,0.946,10.0,49.0,30.0,2018-11-23 00:00:00,2018-11-23 00:00:00
54.0,87.0,0.944,9.0,51.0,24.0,2018-11-23 01:00:00,2018-11-23 01:00:00
50.0,78.0,0.946,8.0,59.0,9.0,2018-11-23 02:00:00,2018-11-23 02:00:00
61.0,83.0,0.941,9.0,62.0,6.0,2018-11-23 03:00:00,2018-11-23 03:00:00
55.0,83.0,1.033,9.0,63.0,3.0,2018-11-23 04:00:00,2018-11-23 04:00:00
64.0,94.0,1.058,11.0,67.0,5.0,2018-11-23 05:00:00,2018-11-23 05:00:00
66.0,108.0,1.204,11.0,70.0,3.0,2018-11-23 06:00:00,2018-11-23 06:00:00
69.0,102.0,1.353,11.0,71.0,5.0,2018-11-23 07:00:00,2018-11-23 07:00:00
75.0,132.0,1.17,14.0,61.0,14.0,2018-11-23 08:00:00,2018-11-23 08:00:00
82.0,137.0,1.115,17.0,63.0,27.0,2018-11-23 09:00:00,2018-11-23 09:00:00
92.0,135.0,1.025,16.0,50.0,47.0,2018-11-23 10:00:00,2018-11-23 10:00:00
74.0,125.0,0.944,15.0,42.0,66.0,2018-11-23 11:00:00,2018-11-23 11:00:00
68.0,111.0,0.84,12.0,26.0,91.0,2018-11-23 12:00:00,2018-11-23 12:00:00
55.0,97.0,0.803,11.0,26.0,98.0,2018-11-23 13:00:00,2018-11-23 13:00:00
55.0,101.0,0.782,10.0,26.0,103.0,2018-11-23 14:00:00,2018-11-23 14:00:00
46.0,89.0,0.791,9.0,34.0,91.0,2018-11-23 15:00:00,2018-11-23 15:00:00
47.0,84.0,0.829,8.0,49.0,73.0,2018-11-23 16:00:00,2018-11-23 16:00:00
44.0,100.0,0.994,8.0,75.0,39.0,2018-11-23 17:00:00,2018-11-23 17:00:00
52.0,139.0,1.371,8.0,92.0,15.0,2018-11-23 18:00:00,2018-11-23 18:00:00
71.0,155.0,1.517,9.0,98.0,3.0,2018-11-23 19:00:00,2018-11-23 19:00:00
69.0,142.0,1.099,10.0,99.0,3.0,2018-11-23 20:00:00,2018-11-23 20:00:00
87.0,135.0,1.051,11.0,91.0,4.0,2018-11-23 21:00:00,2018-11-23 21:00:00
84.0,127.0,1.095,10.0,87.0,2.0,2018-11-23 22:00:00,2018-11-23 22:00:00
78.0,128.0,1.094,10.0,83.0,4.0,2018-11-23 23:00:00,2018-11-23 23:00:00
79.0,117.0,1.199,9.0,75.0,3.0,2018-11-24 00:00:00,2018-11-24 00:00:00
78.0,111.0,1.21,8.0,71.0,2.0,2018-11-24 01:00:00,2018-11-24 01:00:00
76.0,99.0,1.311,8.0,60.0,3.0,2018-11-24 02:00:00,2018-11-24 02:00:00
67.0,94.0,1.156,7.0,54.0,3.0,2018-11-24 03:00:00,2018-11-24 03:00:00
69.0,81.0,1.102,7.0,52.0,3.0,2018-11-24 04:00:00,2018-11-24 04:00:00
58.0,87.0,1.175,8.0,53.0,2.0,2018-11-24 05:00:00,2018-11-24 05:00:00
65.0,125.0,1.301,8.0,55.0,2.0,2018-11-24 06:00:00,2018-11-24 06:00:00
67.0,152.0,1.438,9.0,60.0,4.0,2018-11-24 07:00:00,2018-11-24 07:00:00
67.0,107.0,1.349,12.0,66.0,4.0,2018-11-24 08:00:00,2018-11-24 08:00:00
73.0,113.0,1.515,17.0,77.0,5.0,2018-11-24 09:00:00,2018-11-24 09:00:00
85.0,133.0,1.477,18.0,81.0,12.0,2018-11-24 10:00:00,2018-11-24 10:00:00
81.0,137.0,1.38,18.0,84.0,18.0,2018-11-24 11:00:00,2018-11-24 11:00:00
84.0,131.0,1.307,19.0,84.0,26.0,2018-11-24 12:00:00,2018-11-24 12:00:00
67.0,124.0,1.476,22.0,81.0,44.0,2018-11-24 13:00:00,2018-11-24 13:00:00
73.0,112.0,1.495,21.0,86.0,51.0,2018-11-24 14:00:00,2018-11-24 14:00:00
79.0,118.0,1.493,19.0,102.0,46.0,2018-11-24 15:00:00,2018-11-24 15:00:00
88.0,127.0,1.344,18.0,105.0,62.0,2018-11-24 16:00:00,2018-11-24 16:00:00
99.0,155.0,1.99,15.0,108.0,11.0,2018-11-24 17:00:00,2018-11-24 17:00:00
131.0,247.84499999999935,1.957,15.0,108.0,2.0,2018-11-24 18:00:00,2018-11-24 18:00:00
97.0,173.0,1.46,12.0,105.0,8.0,2018-11-24 19:00:00,2018-11-24 19:00:00
95.0,142.0,1.303,12.0,77.0,25.0,2018-11-24 20:00:00,2018-11-24 20:00:00
85.0,127.0,1.428,13.0,83.0,16.0,2018-11-24 21:00:00,2018-11-24 21:00:00
97.0,131.0,1.501,12.0,92.0,5.0,2018-11-24 22:00:00,2018-11-24 22:00:00
103.0,149.0,1.787,11.0,84.0,4.0,2018-11-24 23:00:00,2018-11-24 23:00:00
98.0,140.0,1.564,10.0,75.0,4.0,2018-11-25 00:00:00,2018-11-25 00:00:00
105.0,143.0,1.598,10.0,69.0,6.0,2018-11-25 01:00:00,2018-11-25 01:00:00
110.0,151.0,1.637,9.0,63.0,9.0,2018-11-25 02:00:00,2018-11-25 02:00:00
117.0,144.0,1.751,9.0,63.0,8.0,2018-11-25 03:00:00,2018-11-25 03:00:00
113.0,149.0,1.762,9.0,63.0,5.0,2018-11-25 04:00:00,2018-11-25 04:00:00
124.0,147.0,1.776,10.0,61.0,5.0,2018-11-25 05:00:00,2018-11-25 05:00:00
122.0,159.0,1.799,9.0,59.0,2.0,2018-11-25 06:00:00,2018-11-25 06:00:00
124.0,156.0,1.873,11.0,68.0,4.0,2018-11-25 07:00:00,2018-11-25 07:00:00
120.0,189.0,1.743,13.0,71.0,12.0,2018-11-25 08:00:00,2018-11-25 08:00:00
131.0,177.0,1.823,15.0,80.0,14.0,2018-11-25 09:00:00,2018-11-25 09:00:00
142.0,186.0,1.799,16.0,79.0,39.0,2018-11-25 10:00:00,2018-11-25 10:00:00
139.0,185.0,1.624,17.0,60.0,89.0,2018-11-25 11:00:00,2018-11-25 11:00:00
125.0,174.0,1.366,16.0,37.0,135.20499999999993,2018-11-25 12:00:00,2018-11-25 12:00:00
107.0,140.0,1.224,15.0,31.0,135.20499999999993,2018-11-25 13:00:00,2018-11-25 13:00:00
90.0,119.0,1.204,14.0,31.0,135.20499999999993,2018-11-25 14:00:00,2018-11-25 14:00:00
84.0,120.0,1.235,13.0,40.0,135.20499999999993,2018-11-25 15:00:00,2018-11-25 15:00:00
101.0,165.0,1.34,12.0,53.0,133.0,2018-11-25 16:00:00,2018-11-25 16:00:00
98.0,184.0,1.374,13.0,64.0,107.0,2018-11-25 17:00:00,2018-11-25 17:00:00
102.0,158.0,1.849,10.0,108.0,32.0,2018-11-25 18:00:00,2018-11-25 18:00:00
128.0,176.0,1.865,11.0,102.0,29.0,2018-11-25 19:00:00,2018-11-25 19:00:00
143.0,193.0,1.819,11.0,97.0,23.0,2018-11-25 20:00:00,2018-11-25 20:00:00
142.0,191.0,2.128,11.0,102.0,4.0,2018-11-25 21:00:00,2018-11-25 21:00:00
142.0,185.0,2.443,10.0,90.0,2.0,2018-11-25 22:00:00,2018-11-25 22:00:00
140.0,190.0,2.502,9.0,79.0,2.0,2018-11-25 23:00:00,2018-11-25 23:00:00
134.0,173.0,2.485,9.0,66.0,2.0,2018-11-26 00:00:00,2018-11-26 00:00:00
133.0,165.0,2.321,10.0,62.0,2.0,2018-11-26 01:00:00,2018-11-26 01:00:00
118.0,156.0,2.271,10.0,58.0,2.0,2018-11-26 02:00:00,2018-11-26 02:00:00
117.0,156.0,2.115,9.0,50.0,2.0,2018-11-26 03:00:00,2018-11-26 03:00:00
110.0,136.0,1.952,9.0,46.0,2.0,2018-11-26 04:00:00,2018-11-26 04:00:00
106.0,138.0,1.709,9.0,51.0,2.0,2018-11-26 05:00:00,2018-11-26 05:00:00
106.0,144.0,1.626,9.0,47.0,2.0,2018-11-26 06:00:00,2018-11-26 06:00:00
